Crop,Crop_matched,Target_mode,Soil_N_ppm,Soil_P_ppm,Soil_K_ppm,Target_N,Target_P,Target_K,Required_N,Required_P,Required_K,Complete_kg_ha,Urea_kg_ha,Compost_kg_ha,N_from_Complete,P_from_Complete,K_from_Complete,N_from_Urea,Total_N_supplied,Total_P_supplied,Total_K_supplied
Ampalaya,Ampalaya,H,41.32,24.67,29.88,39.1,20.4,29.0,2.66,9.73,7.27,6.45,5.46,7.38,10.0,8.0,8.0,3.0,5.0,5.0,3.0
Patola,Patola,L,30.69,17.77,35.69,91.7,81.8,60.6,61.0,64.0,24.9,457.1,3.34,3.0,63.99,63.99,63.99,8.0,64.02,64.0,64.0
Cabbage,Cabbage,M,118.61,31.69,15.39,138.6,35.2,45.7,20.0,3.5,30.3,216.4,6.87,6.61,30.3,30.3,30.3,8.0,30.3,30.3,30.3
Carrot,Carrot,M,60.04,27.71,29.91,77.1,59.5,75.1,17.1,31.8,45.2,322.9,8.52,4.22,45.21,45.21,45.21,9.0,45.21,45.21,45.21
Chili Pepper,Chili Pepper,L,36.28,38.74,73.51,85.7,82.8,154.4,49.4,44.1,80.9,577.9,9.59,1.57,80.91,80.91,80.91,8.0,80.91,80.91,80.91
Tomato,Tomato,H,60.92,28.64,32.54,68.3,31.2,29.8,7.4,2.6,8.8,18.6,10.4,0.7,2.6,2.6,2.6,4.78,7.4,2.61,2.61
Carrot,Carrot,L,80.99,35.3,32.62,92.7,85.8,119.3,11.7,50.5,86.7,619.3,5.96,9.01,86.7,86.7,86.7,6.0,86.7,86.7,86.7
String Bean,String Bean,M,39.27,19.93,28.62,39.2,46.2,40.3,7.72,26.3,11.7,187.9,2.87,5.39,26.31,26.31,26.31,2.0,26.31,26.31,26.31
Tomato,Tomato,L,64.45,31.4,31.67,90.2,115.8,91.2,25.8,84.4,59.5,602.9,6.32,8.84,84.41,84.41,84.41,6.0,84.41,84.41,84.41
Tomato,Tomato,H,62.74,23.63,31.07,68.2,29.4,28.6,5.5,5.8,8.19,41.4,9.59,2.56,5.8,5.8,5.8,10.0,5.8,5.8,5.8
Carrot,Carrot,M,85.12,31.66,30.49,82.2,62.6,72.3,1.96,30.9,41.8,298.6,6.64,4.37,41.8,41.8,41.8,8.0,41.8,41.8,41.8
Ampalaya,Ampalaya,H,40.68,20.27,26.23,41.1,20.8,29.9,0.4,0.5,3.7,26.4,6.87,7.18,3.7,3.7,3.7,7.0,3.7,3.7,3.7
Ampalaya,Ampalaya,M,46.32,21.66,32.08,51.8,48.6,46.7,5.5,26.9,14.6,192.1,5.28,3.0,26.89,26.89,26.89,1.0,26.92,26.9,26.9
Eggplant,Eggplant,M,80.24,20.67,29.89,79.4,50.3,59.7,6.99,29.6,29.8,212.9,9.58,2.63,29.81,29.81,29.81,2.0,29.81,29.81,29.81
Chili Pepper,Chili Pepper,L,29.72,28.63,72.28,90.3,78.4,146.7,60.6,49.8,74.4,531.4,7.3,5.03,74.4,74.4,74.4,9.0,74.4,74.4,74.4
Eggplant,Eggplant,H,76.21,19.91,29.98,69.7,19.4,29.0,5.72,1.83,7.05,9.22,3.98,9.72,7.0,6.0,8.0,4.0,1.0,7.0,6.0
Carrot,Carrot,L,69.78,29.58,29.35,88.1,87.2,122.5,18.3,57.6,93.2,665.7,2.57,1.5,93.2,93.2,93.2,2.0,93.2,93.2,93.2
Chili Pepper,Chili Pepper,L,25.96,29.83,61.15,88.2,76.0,154.7,62.2,46.2,93.5,667.9,1.55,8.02,93.51,93.51,93.51,10.0,93.51,93.51,93.51
Eggplant,Eggplant,L,63.46,19.51,37.14,89.8,78.0,91.4,26.3,58.5,54.3,417.9,6.08,2.22,58.51,58.51,58.51,2.0,58.51,58.51,58.51
Okra,Okra,M,81.65,18.83,30.87,80.4,49.1,58.4,5.35,30.3,27.5,216.4,6.91,9.41,30.3,30.3,30.3,4.0,30.3,30.3,30.3
Chili Pepper,Chili Pepper,L,32.04,34.08,63.1,91.9,82.4,152.3,59.9,48.3,89.2,637.1,5.89,8.0,89.19,89.19,89.19,8.0,89.22,89.2,89.2
Patola,Patola,H,30.27,22.56,35.03,29.7,20.0,29.1,3.55,2.97,7.68,5.48,2.5,9.63,8.0,9.0,9.0,7.0,8.0,4.0,4.0
Chayote,Chayote,L,48.72,19.28,28.87,57.2,83.8,60.6,8.5,64.5,31.7,460.7,4.23,4.6,64.5,64.5,64.5,1.0,64.5,64.5,64.5
Cabbage,Cabbage,M,127.34,29.73,16.81,146.5,34.0,42.9,19.2,4.3,26.1,186.4,7.18,9.41,26.1,26.1,26.1,9.0,26.1,26.1,26.1
Okra,Okra,H,75.79,20.36,30.7,78.9,19.7,31.2,3.1,4.46,0.5,3.6,5.7,4.16,0.5,0.5,0.5,2.62,3.12,0.5,0.5
Tomato,Tomato,L,59.66,29.13,33.22,92.0,121.7,88.7,32.3,92.6,55.5,661.4,4.35,2.54,92.6,92.6,92.6,8.0,92.6,92.6,92.6
Ampalaya,Ampalaya,H,36.85,17.96,29.2,39.0,19.2,28.9,2.1,1.2,2.61,8.6,2.0,6.78,1.2,1.2,1.2,0.92,2.12,1.2,1.2
String Bean,String Bean,M,31.83,21.38,31.46,38.0,44.7,39.1,6.2,23.3,7.6,166.4,9.78,1.66,23.3,23.3,23.3,6.0,23.3,23.3,23.3
String Bean,String Bean,M,32.8,19.88,30.04,38.0,43.2,40.7,5.2,23.3,10.7,166.4,2.18,8.36,23.3,23.3,23.3,3.0,23.3,23.3,23.3
Chayote,Chayote,H,41.3,18.38,29.03,39.9,19.7,29.5,8.02,1.3,0.5,9.3,9.82,2.89,1.3,1.3,1.3,6.0,1.3,1.3,1.3
Cabbage,Cabbage,L,138.69,26.81,21.06,143.4,60.7,58.3,4.7,33.9,37.2,265.7,9.41,2.11,37.2,37.2,37.2,9.0,37.2,37.2,37.2
Ampalaya,Ampalaya,M,38.87,16.8,25.72,48.0,48.6,45.9,9.1,31.8,20.2,227.1,7.28,4.0,31.79,31.79,31.79,7.0,31.82,31.8,31.8
Carrot,Carrot,L,66.53,30.39,31.16,89.4,88.5,118.3,22.9,58.1,87.1,622.1,9.23,5.0,87.09,87.09,87.09,3.0,87.12,87.1,87.1
Patola,Patola,H,33.38,21.45,32.0,29.2,19.6,28.6,5.7,4.59,7.95,8.41,9.57,1.61,8.0,10.0,4.0,2.0,5.0,7.0,8.0
Carrot,Carrot,M,64.39,33.95,30.23,78.2,57.7,77.9,13.8,23.8,47.7,340.7,2.73,8.06,47.7,47.7,47.7,10.0,47.7,47.7,47.7
Chili Pepper,Chili Pepper,M,30.3,32.64,51.39,60.5,48.1,123.7,30.2,15.5,72.3,516.4,7.08,3.44,72.3,72.3,72.3,10.0,72.3,72.3,72.3
Tomato,Tomato,L,67.9,26.72,29.4,89.9,120.4,86.2,22.0,93.7,56.8,669.3,1.02,6.35,93.7,93.7,93.7,8.0,93.7,93.7,93.7
Chili Pepper,Chili Pepper,H,34.03,33.5,54.13,30.0,30.0,60.6,8.38,5.15,6.5,46.4,6.92,5.65,6.5,6.5,6.5,2.0,6.5,6.5,6.5
Chili Pepper,Chili Pepper,H,31.67,24.36,55.04,30.4,29.6,57.5,9.61,5.2,2.5,37.1,8.39,1.0,5.19,5.19,5.19,1.0,5.22,5.2,5.2
String Bean,String Bean,H,30.94,21.17,31.46,34.0,20.7,29.0,3.1,4.59,9.04,3.43,6.7,0.7,5.0,10.0,9.0,3.08,3.1,0.01,0.01
Chili Pepper,Chili Pepper,M,32.99,29.46,65.82,62.1,51.5,115.2,29.1,22.0,49.4,352.9,5.88,3.27,49.41,49.41,49.41,8.0,49.41,49.41,49.41
Tomato,Tomato,M,68.21,29.29,34.64,79.6,71.4,59.2,11.4,42.1,24.6,300.7,5.76,5.39,42.1,42.1,42.1,1.0,42.1,42.1,42.1
String Bean,String Bean,H,29.02,18.77,32.06,34.4,20.8,29.5,5.4,2.0,9.8,14.3,7.4,5.64,2.0,2.0,2.0,3.4,5.4,2.0,2.0
String Bean,String Bean,L,31.11,20.04,29.05,48.0,88.5,52.0,16.9,68.5,23.0,489.3,3.73,2.98,68.5,68.5,68.5,8.0,68.5,68.5,68.5
Ampalaya,Ampalaya,H,35.85,18.43,22.35,38.9,20.4,28.6,3.0,2.0,6.2,44.3,6.03,4.45,6.2,6.2,6.2,7.0,6.2,6.2,6.2
Cabbage,Cabbage,H,120.53,26.68,16.32,125.7,20.1,29.1,5.2,8.7,12.8,91.4,1.53,1.78,12.8,12.8,12.8,6.0,12.8,12.8,12.8
Chayote,Chayote,H,47.92,18.29,28.9,41.0,20.5,30.3,5.51,2.2,1.4,15.7,4.3,7.7,2.2,2.2,2.2,6.0,2.2,2.2,2.2
Eggplant,Eggplant,M,69.55,16.79,37.87,83.0,52.5,59.8,13.5,35.7,21.9,255.0,1.94,9.63,35.7,35.7,35.7,5.0,35.7,35.7,35.7
Chayote,Chayote,H,38.66,19.58,31.1,40.0,19.6,31.1,1.3,7.16,1.37,1.75,2.8,0.3,3.0,9.0,6.0,1.29,1.3,9.0,3.0
Ampalaya,Ampalaya,L,35.21,19.22,27.85,89.8,80.8,60.9,54.6,61.6,33.0,440.0,6.72,7.97,61.6,61.6,61.6,1.0,61.6,61.6,61.6
Okra,Okra,L,79.68,21.71,31.11,86.1,82.9,86.5,6.4,61.2,55.4,437.1,3.58,4.0,61.19,61.19,61.19,10.0,61.22,61.2,61.2
String Bean,String Bean,H,32.16,17.19,28.55,34.0,20.7,31.3,1.8,3.5,2.8,25.0,3.69,3.44,3.5,3.5,3.5,3.0,3.5,3.5,3.5
String Bean,String Bean,H,29.59,21.64,32.46,34.7,20.0,30.8,5.1,3.51,1.69,5.87,11.1,1.05,5.0,2.0,4.0,5.11,5.11,10.0,5.0
Ampalaya,Ampalaya,H,31.88,24.38,29.74,38.2,19.4,30.9,6.3,7.67,1.2,8.6,11.1,8.59,1.2,1.2,1.2,5.11,6.31,1.2,1.2
Cabbage,Cabbage,L,111.41,29.6,17.7,144.6,58.3,59.1,33.2,28.7,41.4,295.7,1.97,3.4,41.4,41.4,41.4,7.0,41.4,41.4,41.4
Chili Pepper,Chili Pepper,H,34.91,31.55,58.62,30.6,30.4,57.6,2.45,6.03,9.59,2.72,9.42,5.62,9.0,8.0,4.0,9.0,2.0,7.0,9.0
Ampalaya,Ampalaya,M,38.23,21.05,28.85,48.8,50.8,46.4,10.6,29.7,17.5,212.1,3.33,4.0,29.69,29.69,29.69,10.0,29.72,29.7,29.7
Tomato,Tomato,M,72.63,26.15,26.81,80.2,78.4,57.0,7.6,52.3,30.2,373.6,8.0,4.09,52.3,52.3,52.3,2.0,52.3,52.3,52.3
Carrot,Carrot,L,67.3,30.29,29.34,90.9,92.6,122.2,23.6,62.3,92.9,663.6,3.89,8.48,92.9,92.9,92.9,4.0,92.9,92.9,92.9
Carrot,Carrot,H,75.51,32.26,33.14,69.0,30.6,30.8,3.02,2.31,3.16,2.64,3.41,4.15,8.0,10.0,8.0,7.0,4.0,4.0,4.0
Carrot,Carrot,L,70.3,29.45,36.5,86.6,89.3,116.0,16.3,59.8,79.5,567.9,8.38,3.85,79.51,79.51,79.51,8.0,79.51,79.51,79.51
Chayote,Chayote,L,42.54,19.45,37.37,57.1,80.7,62.6,14.6,61.2,25.2,437.1,8.55,1.0,61.19,61.19,61.19,4.0,61.22,61.2,61.2
Chili Pepper,Chili Pepper,M,26.72,28.76,59.73,61.6,52.5,117.7,34.9,23.7,58.0,414.3,1.35,6.21,58.0,58.0,58.0,2.0,58.0,58.0,58.0
Chayote,Chayote,L,34.1,22.05,36.93,58.8,76.5,58.9,24.7,54.4,22.0,388.6,6.33,6.34,54.4,54.4,54.4,2.0,54.4,54.4,54.4
Eggplant,Eggplant,M,68.21,20.02,27.34,82.6,49.5,62.8,14.4,29.5,35.5,253.6,6.86,9.04,35.5,35.5,35.5,8.0,35.5,35.5,35.5
Eggplant,Eggplant,L,58.4,18.88,26.43,91.2,78.2,91.7,32.8,59.3,65.3,466.4,2.82,1.36,65.3,65.3,65.3,9.0,65.3,65.3,65.3
Chayote,Chayote,L,39.4,16.8,28.74,58.4,76.6,62.2,19.0,59.8,33.5,427.1,4.04,5.0,59.79,59.79,59.79,10.0,59.82,59.8,59.8
Cabbage,Cabbage,L,117.22,30.03,16.66,147.4,57.0,60.3,30.2,27.0,43.6,311.4,6.09,7.58,43.6,43.6,43.6,9.0,43.6,43.6,43.6
Okra,Okra,M,77.35,19.74,32.01,77.0,49.2,61.3,8.37,29.5,29.3,210.7,8.47,2.02,29.5,29.5,29.5,6.0,29.5,29.5,29.5
Tomato,Tomato,L,75.11,29.54,25.0,86.1,124.0,87.8,11.0,94.5,62.8,675.0,5.46,9.91,94.5,94.5,94.5,8.0,94.5,94.5,94.5
Chayote,Chayote,H,43.58,23.42,32.07,40.6,19.0,29.6,4.52,8.98,5.59,5.25,1.47,6.49,6.0,6.0,9.0,9.0,4.0,9.0,5.0
Patola,Patola,L,34.29,21.97,30.63,91.0,82.3,60.7,56.7,60.3,30.1,430.7,1.76,4.79,60.3,60.3,60.3,7.0,60.3,60.3,60.3
Cabbage,Cabbage,L,104.9,29.48,21.55,157.3,60.8,58.3,52.4,31.3,36.8,262.9,33.9,1.59,36.81,36.81,36.81,15.59,52.4,36.81,36.81
Tomato,Tomato,L,67.76,25.81,31.05,92.0,118.7,89.5,24.2,92.9,58.4,663.6,6.36,8.78,92.9,92.9,92.9,1.0,92.9,92.9,92.9
Eggplant,Eggplant,H,68.68,20.11,37.08,68.2,20.7,29.1,7.15,0.6,1.51,4.3,7.65,8.93,0.6,0.6,0.6,2.0,0.6,0.6,0.6
Chayote,Chayote,H,42.18,18.55,31.67,40.5,19.2,31.1,9.82,0.6,6.41,4.3,2.09,9.39,0.6,0.6,0.6,5.0,0.6,0.6,0.6
Eggplant,Eggplant,M,73.35,22.02,32.29,83.5,49.0,62.7,10.2,27.0,30.4,217.1,7.4,10.0,30.39,30.39,30.39,4.0,30.42,30.4,30.4
Ampalaya,Ampalaya,H,39.6,18.84,31.97,39.3,19.4,31.2,4.29,0.6,3.59,4.3,6.65,4.13,0.6,0.6,0.6,5.0,0.6,0.6,0.6
Patola,Patola,M,28.97,20.27,30.53,59.5,50.9,43.7,30.5,30.6,13.2,218.6,9.47,1.74,30.6,30.6,30.6,3.0,30.6,30.6,30.6
Chili Pepper,Chili Pepper,M,28.56,24.13,60.92,59.8,51.7,121.1,31.2,27.6,60.2,430.0,5.1,5.34,60.2,60.2,60.2,7.0,60.2,60.2,60.2
Ampalaya,Ampalaya,L,42.01,19.28,33.97,85.9,80.5,57.4,43.9,61.2,23.4,437.1,2.62,2.0,61.19,61.19,61.19,2.0,61.22,61.2,61.2
Ampalaya,Ampalaya,H,34.24,17.85,28.48,39.1,20.6,29.8,4.9,2.8,1.3,20.0,4.6,7.38,2.8,2.8,2.8,2.12,4.92,2.8,2.8
String Bean,String Bean,M,34.2,20.09,27.55,38.6,42.9,38.7,4.4,22.8,11.2,162.9,1.4,5.69,22.81,22.81,22.81,4.0,22.81,22.81,22.81
Chili Pepper,Chili Pepper,L,27.54,32.85,67.86,90.2,80.6,151.8,62.7,47.7,83.9,599.3,7.79,8.14,83.9,83.9,83.9,5.0,83.9,83.9,83.9
Tomato,Tomato,M,64.87,32.22,27.05,83.2,74.1,60.8,18.3,41.9,33.8,299.3,1.21,2.18,41.9,41.9,41.9,1.0,41.9,41.9,41.9
String Bean,String Bean,L,36.54,21.09,29.09,48.3,92.9,52.5,11.8,71.8,23.4,512.9,4.97,6.95,71.81,71.81,71.81,6.0,71.81,71.81,71.81
Ampalaya,Ampalaya,M,38.29,18.86,28.5,50.0,50.3,45.4,11.7,31.4,16.9,224.3,4.28,4.6,31.4,31.4,31.4,9.0,31.4,31.4,31.4
Okra,Okra,M,80.5,20.78,27.86,82.4,51.8,62.2,1.9,31.0,34.3,245.0,3.57,2.1,34.3,34.3,34.3,3.0,34.3,34.3,34.3
Ampalaya,Ampalaya,L,39.48,14.23,32.37,92.1,80.3,61.6,52.6,66.1,29.2,472.1,9.28,4.0,66.09,66.09,66.09,7.0,66.12,66.1,66.1
Patola,Patola,H,31.36,20.7,28.52,30.0,20.8,30.6,9.31,0.1,2.1,15.0,5.32,1.45,2.1,2.1,2.1,4.0,2.1,2.1,2.1
Chayote,Chayote,L,37.8,25.3,35.49,62.7,80.5,62.4,24.9,55.2,26.9,394.3,4.21,3.9,55.2,55.2,55.2,8.0,55.2,55.2,55.2
Cabbage,Cabbage,L,133.13,28.42,19.41,152.1,62.0,59.5,19.0,33.6,40.1,286.4,8.99,9.04,40.1,40.1,40.1,3.0,40.1,40.1,40.1
Tomato,Tomato,M,88.36,34.18,32.57,82.3,74.6,60.4,3.92,40.4,27.8,288.6,3.69,3.78,40.4,40.4,40.4,8.0,40.4,40.4,40.4
Chayote,Chayote,H,47.32,18.88,28.95,40.7,19.6,29.6,4.27,0.7,0.7,5.0,5.49,7.81,0.7,0.7,0.7,1.0,0.7,0.7,0.7
Cabbage,Cabbage,H,119.3,32.17,22.83,123.2,19.1,31.2,3.9,9.72,8.4,60.0,2.98,7.2,8.4,8.4,8.4,8.0,8.4,8.4,8.4
Patola,Patola,H,39.29,22.96,28.8,31.5,19.7,28.6,1.72,6.23,6.61,6.04,8.2,3.77,1.0,6.0,4.0,7.0,8.0,5.0,4.0
Cabbage,Cabbage,H,121.66,29.49,23.87,116.4,21.0,28.9,1.51,7.43,5.0,35.7,9.19,3.81,5.0,5.0,5.0,7.0,5.0,5.0,5.0
Ampalaya,Ampalaya,L,36.1,23.08,30.16,90.5,78.8,60.6,54.4,55.7,30.4,397.9,2.36,5.5,55.71,55.71,55.71,4.0,55.71,55.71,55.71
Chili Pepper,Chili Pepper,M,30.95,31.44,57.39,61.9,48.9,125.0,31.0,17.5,67.6,482.9,1.96,3.97,67.61,67.61,67.61,1.0,67.61,67.61,67.61
Eggplant,Eggplant,H,74.8,18.87,32.62,69.9,19.2,31.0,2.63,0.3,1.5,2.1,1.09,2.0,0.29,0.29,0.29,3.0,0.32,0.3,0.3
Carrot,Carrot,L,61.83,28.12,29.01,88.7,91.7,114.3,26.9,63.6,85.3,609.3,9.83,7.5,85.3,85.3,85.3,5.0,85.3,85.3,85.3
Chili Pepper,Chili Pepper,M,30.17,30.14,64.18,62.7,47.8,121.9,32.5,17.7,57.7,412.1,4.49,6.0,57.69,57.69,57.69,1.0,57.72,57.7,57.7
Chayote,Chayote,H,41.48,20.76,32.01,40.8,20.8,29.2,5.72,6.95,1.79,8.44,3.73,4.68,3.0,7.0,10.0,1.0,7.0,9.0,9.0
Patola,Patola,M,30.9,21.0,28.95,62.0,49.2,45.4,31.1,28.2,16.4,201.4,6.3,1.87,28.2,28.2,28.2,2.9,31.1,28.2,28.2
Tomato,Tomato,L,74.14,32.73,28.37,92.2,119.6,86.4,18.1,86.9,58.0,620.7,4.38,7.75,86.9,86.9,86.9,4.0,86.9,86.9,86.9
String Bean,String Bean,L,40.89,19.1,28.01,47.5,89.6,49.4,6.6,70.5,21.4,503.6,3.19,1.17,70.5,70.5,70.5,2.0,70.5,70.5,70.5
Tomato,Tomato,M,77.08,35.81,26.95,80.0,78.0,57.8,2.9,42.2,30.8,301.4,7.54,9.27,42.2,42.2,42.2,5.0,42.2,42.2,42.2
Patola,Patola,M,28.69,17.95,27.08,57.5,51.1,47.2,28.8,33.2,20.1,237.1,4.84,10.0,33.19,33.19,33.19,7.0,33.22,33.2,33.2
Carrot,Carrot,L,74.62,30.5,29.6,88.2,91.5,117.5,13.6,61.0,87.9,627.9,9.77,1.52,87.91,87.91,87.91,2.0,87.91,87.91,87.91
Ampalaya,Ampalaya,M,47.76,17.13,30.48,51.0,49.5,45.6,3.2,32.4,15.1,231.4,7.61,6.45,32.4,32.4,32.4,5.0,32.4,32.4,32.4
